""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YDL027C"	642.008445845215	1.28984686518208	0.153515467423643	8.40206454000237	4.38696600866259e-17	2.52728237352376e-16
"YDL031W"	729.302760352242	-2.73468078268985	0.18031709834353	-15.1659537992337	5.94292652071482e-52	9.28098958572356e-51
"YDL037C"	210.039785651413	-1.9282590480007	0.208249375934031	-9.25937491698192	2.05632486146751e-20	1.36968565541325e-19
"YDL039C"	1005.06166197536	-1.69260844920145	0.167581839758179	-10.1001901616779	5.5135171635789e-24	4.25394104013748e-23
"YDL042C"	340.156669693436	-1.45990714862079	0.137736831732377	-10.5992502532466	3.00378602741211e-26	2.52497240514369e-25
"YDL043C"	153.127328694446	-1.26740121435805	0.193911053740756	-6.53599261057326	6.3189035369294e-11	2.58377374276589e-10
"YDL046W"	5989.07724408633	1.2952169945282	0.14965363316135	8.65476478697814	4.93929212949426e-18	3.00577955786406e-17
"YDL048C"	633.463312424538	1.14607790569341	0.158467388413759	7.23226347809177	4.7500947136775e-13	2.22598437016225e-12
"YDL050C"	103.928810629855	-2.30034735396884	0.233647216997665	-9.84538734733495	7.17622603589361e-23	5.25526790266966e-22
"YDL051W"	1455.7653936042	-2.49268862929662	0.119824411723642	-20.8028447078518	4.07885496828186e-96	1.23528313315116e-94
